latitude,longitude,name,desc,color,source,precision
61.1959877,-149.9075012,"1230 W. 27th, Anchorage, AK","1230 W 27th Ave, Anchorage, AK 99503",,Bing Maps,address
60.1227008,-149.4281019,"913 Port Avenue, Seward, AK","913 Port Ave, Seward, AK 99664",,Bing Maps,address
33.5243263,-86.7746048,"200 41st St S, Birmingham, AL","200 41st St S, Birmingham, AL 35222",,Bing Maps,address
33.5397939,-86.7084809,"200 20th st n, Birmingham, Al","200 20th St N, Birmingham, AL 35210",,Bing Maps,address
33.4998753,-86.7959826,"1128 20th Steeet South, Birmingham, AL","1128 20th St S, Birmingham, AL 35205",,Bing Maps,address
33.5003239,-86.7995634,"1813 10th Court South, Birmingham, AL","1813 10th Ct S, Birmingham, AL 35205",,Bing Maps,address
33.5206795,-86.8117599,"3156 Heights Village, Birmingham, AL","Birmingham, AL",,Bing Maps,city/town
33.5443282,-86.7083341,"2240 Highland Avenue, Birmingham, AL","2240 Highland Ave, Birmingham, AL 35210",,Bing Maps,address
33.5004387,-86.7954865,"2011 11th Avenue South, Birmingham, AL","2011 11th Ave S, Birmingham, AL 35205",,Bing Maps,address
33.5006189,-86.7960343,"2007 11th Avenue South, Birmingham, AL","2007 11th Ave S, Birmingham, AL 35205",,Bing Maps,address
33.5166438,-86.79944,"2430 Morris Avenue, Birmingham, AL","2430 Morris Ave, Birmingham, AL 35203",,Bing Maps,address
33.4794436,-86.7952196,"2821 Central Avenue, Homewood, AL","2821 Central Ave, Homewood, AL 35209",,Bing Maps,address
33.4794436,-86.7952196,"2821 Central Ave, Homewood, AL","2821 Central Ave, Homewood, AL 35209",,Bing Maps,address
33.4848952,-86.7738879,"2713 Culver Rd, Mountain Brook, AL","2713 Culver Rd, Mountain Brook, AL 35223",,Bing Maps,address
36.3722878,-94.2091966,"121 West Central Ave, bentonville, AR","121 W Central Ave, Bentonville, AR 72712",,Bing Maps,address
36.3709259,-94.2084732,"215 South Main Suite 3, Bentonville , AR","215 S Main St, Bentonville, AR 72712",,Bing Maps,address
36.3722878,-94.2091966,"121 west central ave, Bentonville  , AR","121 W Central Ave, Bentonville, AR 72712",,Bing Maps,address
36.0485992,-94.1647797,"1431 S. School , Fayetteville, AR","1431 S School Ave, Fayetteville, AR 72701",,Bing Maps,address
36.0661469,-94.1633224,"309 W Dickson, Fayetteville, AR","309 W Dickson St, Fayetteville, AR 72701",,Bing Maps,address
36.0639992,-94.1608963,"107 N Block Ave , Fayetteville , AR","107 N Block Ave, Fayetteville, AR 72701",,Bing Maps,address
36.0666199,-94.1635895,"310 W Dickson St, Fayetteville , AR","310 W Dickson St, Fayetteville, AR 72701",,Bing Maps,address
34.7478803,-92.2702754,"109 Main St., Little Rock, AR","109 Main St, Little Rock, AR 72201",,Bing Maps,address
36.331295,-94.1180115,"224 S. 2nd Street, Rogers, AR","224 S 2nd St, Rogers, AR 72756",,Bing Maps,address
35.1982427,-111.6475397,"100 N San Francisco, Flagstaff, AZ","100 N San Francisco St, Flagstaff, AZ 86001",,Bing Maps,address
35.1976023,-111.6492657,"2 W Route 66, Flagstaff, AZ","2 W Route 66, Flagstaff, AZ 86001",,Bing Maps,address
33.5182266,-112.0048981,"5532 N. Palo Cristi Rd., Paradise Valley, AZ","5532 N Palo Cristi Rd, Paradise Valley, AZ 85253",,Bing Maps,address
33.4472148,-112.0737051,"2 E Jefferson st, Phoenix, AZ","2 E Jefferson St, Phoenix, AZ 85004",,Bing Maps,address
33.4493552,-112.0731801,"50 E. Adams Street, Phoenix, AZ","50 E Adams St, Phoenix, AZ 85004",,Bing Maps,address
33.5090828,-111.9948273,"4925 N 40th St  , Phoenix, AZ","4925 N 40th St, Phoenix, AZ 85018",,Bing Maps,address
33.519577,-112.0653534,"5632 N. 7th Street , Phoenix, AZ","5632 N 7th St, Phoenix, AZ 85014",,Bing Maps,address
33.4472148,-112.0737051,"2 East Jefferson, Phoenix, AZ","2 E Jefferson St, Phoenix, AZ 85004",,Bing Maps,address
33.519577,-112.0653534,"5632 N. 7th Street, Phoenix, AZ","5632 N 7th St, Phoenix, AZ 85014",,Bing Maps,address
33.5092503,-112.0716311,"111 e camelback , Phoenix, AZ","111 E Camelback Rd, Phoenix, AZ 85012",,Bing Maps,address
33.4944916,-111.9951019,"4041 N 40th St , phoenix, AZ","4041 N 40th St, Phoenix, AZ 85018",,Bing Maps,address
33.5092174,-112.034388,"2201 E Camelback Road #106, Phoenix, AZ","2201 E Camelback Rd, Phoenix, AZ 85016",,Bing Maps,address
33.4949816,-111.9898888,"4228 E. Indian School Road, Phoenix, AZ","4228 E Indian School Rd, Phoenix, AZ 85018",,Bing Maps,address
33.5317535,-112.0481262,"6522 N 16th St, Phoenix, AZ","6522 N 16th St, Phoenix, AZ 85016",,Bing Maps,address
33.4951224,-112.0040146,"3603 E Indian School Rd, Phoenix, AZ","3603 E Indian School Rd, Phoenix, AZ 85018",,Bing Maps,address
33.494709,-112.0235443,"2701 E Indian School, Phoenix, AZ","2701 E Indian School Rd, Phoenix, AZ 85016",,Bing Maps,address
33.4472148,-112.0737051,"2 E Jefferson St, Phoenix, AZ","2 E Jefferson St, Phoenix, AZ 85004",,Bing Maps,address
33.5136625,-112.0736763,"5223 N. Central Avenue, Phoenix, AZ","5223 N Central Ave, Phoenix, AZ 85012",,Bing Maps,address
