"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"01001","Agawam Town, MA",16769,1 
"01002","Amherst Center, MA",29049,1 
"01003","Amherst Center, MA",10372,1 
"01005","Barre, MA",5079,1 
"01007","Belchertown, MA",14649,1 
"01008","Blandford, MA",1263,1 
"01009","Palmer Town, MA",741,1 
"01010","Brimfield, MA",3609,1 
"01011","Chester, MA",1370,1 
"01012","Chesterfield, MA",661,1 
"01013","Chicopee, MA",23188,1 
"01020","Chicopee, MA",29668,1 
"01022","Chicopee, MA",2451,1 
"01026","Cummington, MA",946,1 
"01027","Easthampton Town, MA",17660,1 
"01028","East Longmeadow, MA",15720,1 
"01029","East Otis, MA (PO Boxes)",789,1 
"01030","Agawam Town, MA",11669,1 
"01031","Gilbertville, MA",1308,1 
"01032","Goshen, MA",570,1 
"01033","Granby, MA",6227,1 
"01034","Granville, MA",2021,1 
"01035","Hadley, MA",5250,1 
"01036","Hampden, MA",5109,1 
"01037","Hardwick, MA (PO Boxes)",838,1 
"01038","Hatfield, MA",2545,1 
"01039","Haydenville, MA",1336,1 
"01040","Holyoke, MA",39880,1 
"01050","Huntington, MA",2530,1 
"01053","Northampton, MA",1685,1 
"01054","Leverett, MA",1851,1 
"01056","Ludlow, MA",21103,1 
"01057","Monson, MA",8534,1 
"01060","Northampton, MA",15284,1 
"01062","Northampton, MA",11150,1 
"01063","Northampton, MA",430,1 
"01066","North Hatfield, MA (PO Boxes)",64,1 
"01068","Oakham, MA",1902,1 
"01069","Palmer Town, MA",8469,1 
"01070","Plainfield, MA",629,1 
"01071","Russell, MA",1596,1 
"01072","Shutesbury, MA",1478,1 
"01073","Southampton, MA",5792,1 
"01074","South Barre, MA (PO Boxes)",319,1 
"01075","South Hadley, MA",17527,1 
"01077","Southwick, MA",9502,1 
"01079","Palmer Town, MA",692,1 
"01080","Palmer Town, MA",2334,1 
"01081","Wales, MA",1698,1 
"01082","Ware, MA",10322,1 
"01083","Warren, MA (PO Boxes)",2888,1 
"01084","West Chesterfield, MA (PO Boxes)",176,1 
"01085","Westfield, MA",41117,1 
"01086","Westfield, MA",687,1 
"01088","West Hatfield, MA",670,1 
"01089","West Springfield Town, MA",28391,1 
"01092","West Warren, MA (PO Boxes)",1394,1 
"01093","Whately, MA (PO Boxes)",325,1 
"01094","Wheelwright, MA (PO Boxes)",351,1 
"01095","Wilbraham, MA",14319,1 
"01096","Williamsburg, MA",2217,1 
"01097","Woronoco, MA",111,1 
"01098","Worthington, MA",1101,1 
"01103","Springfield, MA",2479,1 
"01104","Springfield, MA",22865,1 
"01105","Springfield, MA",12350,1 
"01106","Longmeadow, MA",16021,1 
"01107","Springfield, MA",11611,1 
"01108","Springfield, MA",26688,1 
"01109","Springfield, MA",30250,1 
"01118","Springfield, MA",14071,1 
"01119","Springfield, MA",14152,1 
"01128","Springfield, MA",2631,1 
"01129","Springfield, MA",7019,1 
"01151","Springfield, MA",8698,1 
"01201","Pittsfield, MA",46504,1 
"01220","Adams, MA",8603,1 
"01222","Ashley Falls, MA",829,1 
"01223","Becket, MA",2314,1 
"01224","Berkshire, MA",182,1 
"01225","Cheshire, MA",3117,1 
"01226","Dalton, MA",6945,1 
"01229","Glendale, MA (PO Boxes)",95,1 
"01230","Great Barrington, MA",8430,1 
"01235","Hinsdale, MA",2766,1 
"01236","Housatonic, MA",1509,1 
